Slide Num .,Time Start (m),Theme,Content,Notes,,Format:,"For slides on flags, list flag/arguments and some examples"
1,0-0.33,Intro,Find command in relation to locate / grep,(funnel illustration),,,
2,0.33-0.67,Intro,Find command in relation to locate / grep,(move down /highlight the funnel illustration),,,
3,0.67-1,Intro,Julia Evans / @b0rk's illustration for `find`,,,,
4,1-1.33,Outline,Outline the programs/flags and themes we'll cover,"Search by: name, time, size, options, with `xargs`",,,
5,1.33-1.67,Name,"""-name""",,,,
6,1.67-2,Name,"""-iname""",,,,
7,2-2.33,Time,"""-mtime""",,,,
8,2.33-2.67,Time,"""-atime""",,,,
9,2.67-3,Time,"""-ctime""",,,,
10,3-3.33,Size,"""-size""",,,,
11,3.33-3.67,Depth,"""-depth""",,,,
12,3.67-4,Depth,"""-maxdepth""",,,,
13,4-4.33,Depth,"""-mindepth""",,,,
14,4.33-4.67,Error Handling,Redirecting error output with `2>/dev/null`,,,,
15,4.67-5,xargs,What is xargs?,,,,
16,5-5.33,xargs,Using xargs in conjunction with find,,,,
17,5.33-5.67,xargs,Using xargs in conjunction with find,,,,
18,5.67-6,Demo,Construct directory w/ trash files and one good one,,,,
19,6-6.33,Demo,Locate it with find,,,,
20,6.33-6.67,Demo,Do something with the found file,,,,
21,6.67-7,Demo,Do something else with the file with xargs,,,,